setting,seed,train_error,val_error
none,0,0.0,0.04179999999999995
none,1,0.0,0.04269999999999996
none,2,0.0,0.0413
L2 (1e-4),0,0.0010000000000000009,0.04179999999999995
L2 (1e-4),1,0.0,0.04239999999999999
L2 (1e-4),2,0.0010999999999999899,0.044499999999999984
L2 (1e-3),0,0.0040999999999999925,0.04490000000000005
L2 (1e-3),1,0.0020000000000000018,0.04200000000000004
L2 (1e-3),2,0.0021999999999999797,0.04159999999999997
dropout (0.3),0,0.0,0.04069999999999996
dropout (0.3),1,0.0,0.040200000000000014
dropout (0.3),2,0.0,0.03839999999999999
dropout (0.5),0,0.0,0.039100000000000024
dropout (0.5),1,0.00019999999999997797,0.0383
dropout (0.5),2,0.0,0.037900000000000045
dropout (0.3) + L2 (1e-4),0,9.999999999998899e-05,0.03859999999999997
dropout (0.3) + L2 (1e-4),1,0.0,0.0403
dropout (0.3) + L2 (1e-4),2,0.0,0.03939999999999999
