width,seed,parameters,train_error,val_error
4,0,3190,0.14890000000000003,0.18059999999999998
4,1,3190,0.14500000000000002,0.18020000000000003
4,2,3190,0.2518,0.2763
8,0,6370,0.05289999999999995,0.09540000000000004
8,1,6370,0.05889999999999995,0.09430000000000005
8,2,6370,0.0595,0.0998
16,0,12730,0.022700000000000053,0.07550000000000001
16,1,12730,0.03059999999999996,0.08099999999999996
16,2,12730,0.021700000000000053,0.07569999999999999
32,0,25450,0.00660000000000005,0.06410000000000005
32,1,25450,0.005099999999999993,0.06269999999999998
32,2,25450,0.005900000000000016,0.06769999999999998
64,0,50890,0.00029999999999996696,0.057499999999999996
64,1,50890,0.00019999999999997797,0.05249999999999999
64,2,50890,0.00029999999999996696,0.057499999999999996
128,0,101770,0.0,0.04859999999999998
128,1,101770,0.0,0.047599999999999976
128,2,101770,0.0,0.05010000000000003
256,0,203530,0.0,0.04590000000000005
256,1,203530,0.0,0.04630000000000001
256,2,203530,0.0,0.04459999999999997
512,0,407050,0.0,0.04179999999999995
512,1,407050,0.0,0.04269999999999996
512,2,407050,0.0,0.0413
1024,0,814090,0.0,0.03979999999999995
1024,1,814090,0.0,0.041100000000000025
1024,2,814090,0.0,0.041000000000000036
