optimizer,lr,final_val_loss,final_val_error
SGD,0.003,0.5862174214649265,0.13980000000000004
SGD,0.01,0.3729296822748729,0.10409999999999997
SGD,0.03,0.28114846031691115,0.08109999999999995
SGD,0.1,0.2093801969569975,0.061000000000000054
SGD,0.3,0.17473626792196628,0.048799999999999955
SGD,1.0,0.17487011195672594,0.04269999999999996
SGD + momentum,0.001,0.37319604854457433,0.10419999999999996
SGD + momentum,0.003,0.279333308321873,0.0807
SGD + momentum,0.01,0.20463371709047865,0.0595
SGD + momentum,0.03,0.17584055682337174,0.04920000000000002
SGD + momentum,0.1,0.1790180390709907,0.04359999999999997
RMSProp,0.0001,0.23843696684610446,0.0665
RMSProp,0.0003,0.18657963421089055,0.05410000000000004
RMSProp,0.001,0.22010739552021913,0.04490000000000005
RMSProp,0.003,0.28420938380731614,0.04069999999999996
RMSProp,0.01,0.520774183048284,0.04200000000000004
Adam,0.0001,0.24753075832581062,0.06799999999999995
Adam,0.0003,0.18795383808360136,0.05459999999999998
Adam,0.001,0.1841082482017751,0.04730000000000001
Adam,0.003,0.19287374066697097,0.04279999999999995
Adam,0.01,0.3601104697253241,0.04500000000000004
